entry_time,exit_time,instrument,underlier,expiry,strike,option_type,entry_price,exit_price,quantity,gross_pnl,net_pnl,transaction_costs,holding_period_seconds
2022-11-01T13:35:38,2022-11-01T13:35:48,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,129.95,130.5,1,0.55,-39.45,40.0,10.0
2022-11-01T13:35:48,2022-11-01T13:35:50,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.8,78.8,1,0.0,-40.0,40.0,2.0
2022-11-01T13:35:48,2022-11-01T13:35:50,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.4,102.55,1,0.15,-39.85,40.0,2.0
2022-11-01T13:35:50,2022-11-01T13:35:53,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.8,56.8,1,0.0,-40.0,40.0,3.0
2022-11-01T13:35:50,2022-11-01T13:35:53,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.3,130.05,1,-0.25,-40.25,40.0,3.0
2022-11-01T13:35:53,2022-11-01T13:35:56,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.65,79.05,1,0.4,-39.6,40.0,3.0
2022-11-01T13:35:53,2022-11-01T13:35:56,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.15,102.15,1,0.0,-40.0,40.0,3.0
2022-11-01T13:35:56,2022-11-01T13:35:57,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.95,56.8,1,-0.15,-40.15,40.0,1.0
2022-11-01T13:35:56,2022-11-01T13:35:57,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.15,129.85,1,-0.3,-40.3,40.0,1.0
2022-11-01T13:35:57,2022-11-01T13:35:59,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.8,78.9,1,0.1,-39.9,40.0,2.0
2022-11-01T13:35:57,2022-11-01T13:35:59,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.15,102.45,1,0.3,-39.7,40.0,2.0
2022-11-01T13:35:59,2022-11-01T13:36:00,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.0,56.85,1,-0.15,-40.15,40.0,1.0
2022-11-01T13:35:59,2022-11-01T13:36:00,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.2,130.2,1,0.0,-40.0,40.0,1.0
2022-11-01T13:36:00,2022-11-01T13:36:03,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.85,78.3,1,-0.55,-40.55,40.0,3.0
2022-11-01T13:36:00,2022-11-01T13:36:03,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.45,102.6,1,0.15,-39.85,40.0,3.0
2022-11-01T13:36:03,2022-11-01T13:36:08,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.6,56.15,1,-0.45,-40.45,40.0,5.0
2022-11-01T13:36:03,2022-11-01T13:36:08,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.65,131.35,1,0.7,-39.3,40.0,5.0
2022-11-01T13:36:08,2022-11-01T13:36:24,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.8,78.4,1,0.6,-39.4,40.0,16.0
2022-11-01T13:36:08,2022-11-01T13:36:24,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.4,102.75,1,-0.65,-40.65,40.0,16.0
2022-11-01T13:36:24,2022-11-01T13:36:25,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.5,56.4,1,-0.1,-40.1,40.0,1.0
2022-11-01T13:36:24,2022-11-01T13:36:25,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.85,131.0,1,0.15,-39.85,40.0,1.0
2022-11-01T13:36:25,2022-11-01T13:36:27,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.35,79.0,1,0.65,-39.35,40.0,2.0
2022-11-01T13:36:25,2022-11-01T13:36:27,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.85,102.4,1,-0.45,-40.45,40.0,2.0
2022-11-01T13:36:27,2022-11-01T13:37:36,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,57.05,56.6,1,-0.45,-40.45,40.0,69.0
2022-11-01T13:36:27,2022-11-01T13:37:36,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.55,130.3,1,-0.25,-40.25,40.0,69.0
2022-11-01T13:37:36,2022-11-01T13:37:39,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.65,78.65,1,0.0,-40.0,40.0,3.0
2022-11-01T13:37:36,2022-11-01T13:37:39,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.4,102.35,1,-0.05,-40.05,40.0,3.0
2022-11-01T13:37:39,2022-11-01T13:37:41,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.75,56.85,1,0.1,-39.9,40.0,2.0
2022-11-01T13:37:39,2022-11-01T13:37:41,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.5,130.65,1,0.15,-39.85,40.0,2.0
2022-11-01T13:37:41,2022-11-01T13:37:42,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.75,78.65,1,-0.1,-40.1,40.0,1.0
2022-11-01T13:37:41,2022-11-01T13:37:42,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.4,102.55,1,0.15,-39.85,40.0,1.0
2022-11-01T13:37:42,2022-11-01T13:37:44,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.55,56.5,1,-0.05,-40.05,40.0,2.0
2022-11-01T13:37:42,2022-11-01T13:37:44,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.7,130.95,1,0.25,-39.75,40.0,2.0
2022-11-01T13:37:44,2022-11-01T13:40:55,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,78.45,77.55,1,-0.9,-40.9,40.0,191.0
2022-11-01T13:37:44,2022-11-01T13:40:55,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,102.65,103.3,1,0.65,-39.35,40.0,191.0
2022-11-01T13:40:55,2022-11-01T13:40:56,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.7,55.65,1,-0.05,-40.05,40.0,1.0
2022-11-01T13:40:55,2022-11-01T13:40:56,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.55,131.8,1,0.25,-39.75,40.0,1.0
2022-11-01T13:40:56,2022-11-01T13:45:18,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.45,78.6,1,1.15,-38.85,40.0,262.0
2022-11-01T13:40:56,2022-11-01T13:45:18,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.7,103.0,1,-0.7,-40.7,40.0,262.0
2022-11-01T13:45:18,2022-11-01T13:45:22,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.35,55.6,1,-0.75,-40.75,40.0,4.0
2022-11-01T13:45:18,2022-11-01T13:45:22,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,130.95,132.05,1,1.1,-38.9,40.0,4.0
2022-11-01T13:45:22,2022-11-01T13:45:28,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.7,77.45,1,-0.25,-40.25,40.0,6.0
2022-11-01T13:45:22,2022-11-01T13:45:28,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.7,103.75,1,0.05,-39.95,40.0,6.0
2022-11-01T13:45:28,2022-11-01T13:45:29,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.85,55.85,1,0.0,-40.0,40.0,1.0
2022-11-01T13:45:28,2022-11-01T13:45:29,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.7,131.7,1,0.0,-40.0,40.0,1.0
2022-11-01T13:45:29,2022-11-01T13:45:34,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.45,78.0,1,0.55,-39.45,40.0,5.0
2022-11-01T13:45:29,2022-11-01T13:45:34,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.75,103.2,1,-0.55,-40.55,40.0,5.0
2022-11-01T13:45:34,2022-11-01T13:45:35,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,56.0,56.2,1,0.2,-39.8,40.0,1.0
2022-11-01T13:45:34,2022-11-01T13:45:35,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.15,131.0,1,-0.15,-40.15,40.0,1.0
2022-11-01T13:45:35,2022-11-01T13:45:38,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.9,77.7,1,-0.2,-40.2,40.0,3.0
2022-11-01T13:45:35,2022-11-01T13:45:38,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.15,103.9,1,0.75,-39.25,40.0,3.0
2022-11-01T13:45:38,2022-11-01T13:45:41,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.95,55.85,1,-0.1,-40.1,40.0,3.0
2022-11-01T13:45:38,2022-11-01T13:45:41,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.65,131.45,1,-0.2,-40.2,40.0,3.0
2022-11-01T13:45:41,2022-11-01T13:45:43,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.95,77.75,1,-0.2,-40.2,40.0,2.0
2022-11-01T13:45:41,2022-11-01T13:45:43,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,103.45,103.65,1,0.2,-39.8,40.0,2.0
2022-11-01T13:45:43,2022-11-01T13:45:58,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.9,55.3,1,-0.6,-40.6,40.0,15.0
2022-11-01T13:45:43,2022-11-01T13:45:58,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,131.55,133.0,1,1.45,-38.55,40.0,15.0
2022-11-01T13:45:58,2022-11-01T13:46:10,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.0,77.5,1,0.5,-39.5,40.0,12.0
2022-11-01T13:45:58,2022-11-01T13:46:10,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,104.7,103.8,1,-0.9,-40.9,40.0,12.0
2022-11-01T13:46:10,2022-11-01T13:46:12,NIFTY22110318200CE,NIFTY,2022-11-03,18200,CE,55.75,55.4,1,-0.35,-40.35,40.0,2.0
2022-11-01T13:46:10,2022-11-01T13:46:12,NIFTY22110318200PE,NIFTY,2022-11-03,18200,PE,132.0,132.25,1,0.25,-39.75,40.0,2.0
2022-11-01T13:46:12,2022-11-01T13:46:59,NIFTY22110318150CE,NIFTY,2022-11-03,18150,CE,77.15,78.1,1,0.95,-39.05,40.0,47.0
2022-11-01T13:46:12,2022-11-01T13:46:59,NIFTY22110318150PE,NIFTY,2022-11-03,18150,PE,104.0,102.85,1,-1.15,-41.15,40.0,47.0
